"Start Time","End Time","Text","Layer ID"
"00:02:34:06","00:02:36:26","個人データを管理する Personary アプリには、データを分析ツールへと送り出す機能はありません","1"
"00:02:36:34","00:02:38:43","そこで、データ送り出し用の管理ツールを提供しています","1"
"00:02:38:44","00:02:41:44","[launch binder] ボタンをクリックしてくださいどちらでも同じものが起動しますが、説明を読み、適当な方をクリックしてください","1"
"00:02:42:57","00:02:45:57","環境が起動するまで待ちます...","1"
"00:02:54:52","00:02:57:53","JupyterLabと呼ばれるソフトウェアが起動します[00_PLR初期設定] を選択してください","1"
"00:02:59:35","00:03:02:35","Jupyter Notebookと呼ばれるコンテンツが開きますので、説明をよく読み実行してください","1"
"00:03:09:51","00:03:12:51","Personaryを使用しているGoogleアカウントを選択してください","1"
"00:03:15:24","00:03:18:24","このようなエラー画面に飛ばされますが、そのままブラウザに表示されているリンクをコピーして...","1"
"00:03:18:29","00:03:21:29","Jupyter Notebookに表示されているテキストボックスに、ペーストしてください","1"
"00:03:26:32","00:03:29:32","あとは指示にしたがって実行を進めてください","1"
"00:03:32:19","00:03:34:27","エラー(赤い文字で表示)が表示されなければ、正常に連携できています","1"
"00:03:34:27","00:03:37:10","もしできていないようであれば、再度[launch binder] で環境を作成しなおして試してみてください","1"
"00:03:37:12","00:03:40:12","[01_PersonaryデータをExcelで取得する例] を使うと、Excelファイルで実行記録を取り出せます","1"
"00:03:40:49","00:03:43:49","Jupyter Notebookの指示にしたがって、取得期間やタスクの情報を指定します","1"
"00:03:47:48","00:03:50:48","[タスクのURL] には、配備時に得たURLを指定します","1"
"00:03:56:41","00:03:59:41","あとは同様に実行していきます","1"
"00:04:04:05","00:04:07:05","あとは実行完了を待ってください...","1"
"00:04:11:03","00:04:14:03","得られたExcelファイルは左側のファイルリストよりダウンロードできます","1"
"00:04:19:10","00:04:22:10","タスクの実行記録は仮名化された状態で取得することができます","1"
"00:04:26:32","00:04:29:32","ダウンロードされたファイルでは、jsPsychのデータが列として並んだ状態となります","1"
"00:04:30:01","00:04:33:01","このExcelファイルを使って、実行記録の分析をすることができます","1"
